1,1,1,62000,"0,40274","0,8587119410407327","0,5492090042274373"
2,1,1,52000,"0,53539","0,9363226827449513","0,6380329151507601"
3,1,1,42000,"0,62484","0,9718172457702163","0,6932999119216906"
1,1,2,64000,"0,34377","0,943792729177124","0,8923356373859479"
2,1,2,54000,"0,51","0,9866065900907393","1,0447724046847662"
3,1,2,44000,"0,61567","0,9971875647600222","1,116907624469052"
1,1,3,66000,"0,32259","0,9753382452106508","1,2642338647195366"
2,1,3,56000,"0,50691","0,9971245631446347","1,4647200658702535"
3,1,3,46000,"0,61515","0,9996748094212853","1,5475990954648826"
1,1,4,68000,"0,31657","0,9902232304383148","1,6571106275875287"
2,1,4,58000,"0,50476","0,9994405740671433","1,899644612576773"
3,1,4,48000,"0,61363","0,9999624929567603","1,98503256654199"
1,1,5,70000,"0,30787","0,9952279782351783","2,0636533796627967"
2,1,5,60000,"0,50352","0,9998922404268971","2,338976882498014"
3,1,5,50000,"0,61495","0,9999924003006916","2,4139721261365206"
1,1,6,72000,"0,30602","0,9972895420030486","2,4911499220760533"
2,1,6,62000,"0,50416","0,999937882492231","2,765876597934234"
3,1,6,52000,"0,61432","0,9999949407995554","2,8521488667127666"
1,1,7,74000,"0,30519","0,9986100145549639","2,9246441921325674"
2,1,7,64000,"0,50285","0,9999661340643629","3,2050218278524167"
3,1,7,54000,"0,61508","0,9999949297075059","3,279817709906869"
1,1,8,76000,"0,30669","0,9996592573459797","3,3445674696248346"
2,1,8,66000,"0,50584","0,9999880156209866","3,6251149324329686"
3,1,8,56000,"0,61293","0,9999936856395678","3,7332515394866"
1,1,9,78000,"0,31009","0,9998182284217284","3,7738104678728255"
2,1,9,68000,"0,50442","0,999994839002641","4,0626494364483134"
3,1,9,58000,"0,61634","0,9999731307588494","4,135229990197097"
1,1,10,80000,"0,30279","0,9999552454977598","4,229825777324469"
2,1,10,70000,"0,50318","0,999989334409481","4,50783097557884"
3,1,10,60000,"0,61493","0,9999984059993577","4,582423070653667"
1,1,11,82000,"0,30683","0,9999103662917238","4,632122462952505"
2,1,11,72000,"0,50271","0,9999988147415874","4,944746147261479"
3,1,11,62000,"0,61555","0,9999918950061883","5,005376545501575"
1,1,12,84000,"0,30752","0,9999522692426522","5,079543277608212"
2,1,12,74000,"0,50406","0,9999744413083702","5,367769247957637"
3,1,12,64000,"0,6137","0,9999722134909899","5,461066708781629"
1,1,13,86000,"0,30667","0,9999903285617303","5,511148649216711"
2,1,13,76000,"0,50276","0,9999846835011231","5,817611143342462"
3,1,13,66000,"0,6147","0,9999909854799053","5,882064739065827"
1,1,14,88000,"0,30682","0,9999659490571846","5,947173427299156"
2,1,14,78000,"0,50241","0,9999856211001155","6,258021373571061"
